asset,timeframe,model_family,candidate_id,experiment_phase,input_family,weeks_observed,best_week,best_week_rap_pct,best_week_return_pct,best4_end_week,best4_mean_rap_pct,mean_weekly_rap_pct,mean_weekly_return_pct,mean_weekly_drawdown_pct,mean_weekly_trades,rel_volume,k_sl,k_tp,risk_penalty_lambda
solusdt,1h,sac,solusdt_1h_tech_stat_decomp_sac_warm_start_chain_1y_seed5_asset_preset_broadening_phase5_v1_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1,sltp_risk_geometry_phase8_v1,tech_stat_decomp,8,2023-10-30,17.991503,19.475567,2023-11-06,3.410832,-2.59569,0.673191,6.537763,38.0,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed13_adaptive_top_seed_extension_seed13_v1,adaptive_top_seed_extension_seed13_v1,kitchen_sink_guarded,10,2023-12-18,12.101814,14.43236,2023-12-18,3.390943,-0.04988,2.467647,5.035054,5.1,0.5,2.0,3.0,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v3_seed19_adaptive_top_seed_extension_seed19_v1,adaptive_top_seed_extension_seed19_v1,kitchen_sink_guarded,40,2022-07-11,8.6529,9.166426,2022-06-06,3.234035,-0.85552,0.671962,3.054965,5.575,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed14_adaptive_top_seed_extension_seed14_v1,adaptive_top_seed_extension_seed14_v1,kitchen_sink_guarded,10,2023-11-06,14.420713,15.788984,2023-12-18,3.225689,0.827557,2.963498,4.271881,8.1,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed12_adaptive_top_seed_extension_seed12_v1,adaptive_top_seed_extension_seed12_v1,kitchen_sink_guarded,10,2023-12-04,8.90423,10.80892,2023-12-11,3.136477,-2.800043,0.309281,6.218648,4.6,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed11_adaptive_top_seed_extension_seed11_v1,adaptive_top_seed_extension_seed11_v1,kitchen_sink_guarded,10,2023-12-18,26.942647,29.15443,2023-12-18,3.108746,0.079806,2.339028,4.518443,4.3,0.5,2.0,3.0,0.5
solusdt,1h,sac,solusdt_1h_sota_low_cost_sac_warm_start_chain_1y_seed5_asset_preset_broadening_phase5_v1_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1,adaptive_top_seed_extension_seed7_v1,sota_low_cost,8,2023-10-30,6.242799,8.42229,2023-11-06,2.927548,-1.798432,0.640561,4.877985,22.625,0.5,1.25,1.25,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v3_seed18_adaptive_top_seed_extension_seed18_v1,adaptive_top_seed_extension_seed18_v1,kitchen_sink_guarded,40,2022-07-25,4.808563,5.655942,2022-08-08,2.326708,-1.924807,-0.296122,3.257371,4.975,0.5,1.25,1.25,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v3_seed20_adaptive_top_seed_extension_seed20_v1,adaptive_top_seed_extension_seed20_v1,kitchen_sink_guarded,40,2022-09-12,9.304535,10.104027,2022-06-06,2.194859,-1.632964,0.051044,3.368016,5.625,0.5,1.25,1.25,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_aware_rv0p50_base_sltp_risk_geometry_phase8_v3_seed20_adaptive_top_seed_extension_seed20_v1,adaptive_top_seed_extension_seed20_v1,kitchen_sink_guarded,40,2022-06-06,9.487644,10.708424,2022-05-09,2.076974,-1.879586,-0.220723,3.317727,4.05,0.5,2.0,3.0,0.5
